Course Name,Count
Principles of Microeconomics,2
Econometric Data Science,1
Critical Writing on Information Technology,1
Chemistry I,1
Chemistry I Laboratory,1
Introduction to STEM,1
English Composition I,1
Career Design for STEM Disciplines,1
Physics I,1
Physics I Laboratory,1
Technical Writing,1
Concepts and Methods for Engineering and CS,1
Physics II,1
Physics II Laboratory,1
Engineering & Technology Project Management,1
Professional Experience Internship,1
Operations Research,1
Business Project Management,1
Optimization for Analytics,2
